"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
70,647336,"Soroka, Michael",230,30.4,0.188,0.125,0.429,0.313,0.27,,,3,16,92.4,28.3,2909,80.9,80.17,14,25,45,-0.7000000000000028,5.85,117,147,119,149,297,325,302,"0.354","-0.354",,,18,7,2,0,1,0,9,50,1,5.6,4.11886,-0.62471,-0.97771,0.15571,"92.0",170,28.57142857142857,0,0,5.69,-2.59,0.49,1.73,0.278,0,"-0.505714286",,,"0.505714286",,,,,56,,,,,,,
67,656794,"Newcomb, Sean",266,25.2,0.313,0.375,0.4,0.688,0.471,,,5,16,92.4,7.5,2769,81.5,80.06,9,28,39,-1.4000000000000057,5.49,109,146,122,144,300,329,300,"-3.377","3.377",,,19,11,2,1,1,1,5,26.3,2,10.5,3.92791,-0.47299,-1.34701,0.40522,"94.2",148,54.54545454545454,18.181818181818183,10.526315789473683,5.83,2.87,0,2.2,0.421,2,"5.040298507",,,"-5.040298507",,,,,32.1,,,,,,,
57,690986,"Harrison, Kyle",267,21.3,0.2,0.067,0.429,0.267,0.238,,,3,15,95.4,10.6,2158,82.3,82.27,12,24,33,0,6.32,112,150,120,149,298,316,292,"-0.782","0.782",,,16,7,2,1,0,0,8,50,0,0,3.49702,-0.12509,-0.77965,0.27123,"94.6",155,71.42857142857143,0,0,4.95,2.11,-0.33,1.96,0.25,0,"1.371929825",,,"-1.371929825",,,,,50,,,,,,,
48,663574,"Santillan, Tony",124,38.7,0.5,0,0.75,0.5,0.536,,,3,6,91.8,5.5,2238,83.8,82.98,5,14,34,-0.7999999999999972,5.69,110,149,118,149,302,335,304,"-1.527","1.527",,,9,4,3,0,0,0,2,22.2,2,22.2,3.69375,-0.45396,-0.88667,-0.07625,"91.5",152,50,0,0,5.29,-2.53,0.03,1.71,0.667,0,"3.18125",,,"-3.18125",,,,,35.7,,,,,,,
42,621244,"Berríos, José",164,25.6,0.222,0.333,0.167,0.556,0.4,,,2,9,86.3,14.3,2376,82.2,81.84,7,17,25,-0.4000000000000057,6.13,110,145,117,144,297,328,293,"-0.172","0.172",,,11,7,1,0,0,1,2,18.2,2,18.2,3.73548,-0.34833,-1.2831,-0.18786,"92.1",115,42.857142857142854,14.285714285714285,9.090909090909092,5.62,-3.02,0.34,1.61,0.364,1,"0.40952381",,,"-0.40952381",,,,,41.2,,,,,,,
41,663554,"Mize, Casey",337,12.2,0,0,0,0,0,,,0,7,83.7,7.8,2461,82.2,82.73,3,15,26,0.5,6.77,111,149,123,147,290,321,283,"1.001","-1.001",,,7,6,0,0,0,0,1,14.3,0,0,3.84146,-0.45122,-0.95244,-0.65488,"90.1",100,33.33333333333333,0,0,5.73,-2.37,0.31,1.88,0,0,"-2.441463415",,,"2.441463415",,,,,20,,,,,,,
36,694477,"Patrick, Chad",263,13.7,0.273,0.091,0.5,0.364,0.28,,,3,11,99.9,9.7,2352,84.8,84.8,8,19,17,0,6.06,113,150,120,148,299,318,302,"-0.197","0.197",,,11,6,2,1,0,0,5,45.5,0,0,3.33722,-0.19361,-0.395,-0.12611,"95.7",130,66.66666666666666,0,0,5.65,-1.08,0.3,1.57,0.273,0,"0.547222222",,,"-0.547222222",,,,,42.1,,,,,,,
36,678576,"Ramos, Wilkin",120,30,0.333,0,0.333,0.333,0.399,,,2,6,81.8,15.2,1839,78.1,79.94,3,12,24,1.8000000000000114,7.62,109,147,117,149,309,336,298,"-0.869","0.869",,,8,6,2,0,0,0,0,0,2,25,4.36972,-0.62194,-0.66222,0.13667,"88.2",120,0,0,0,5.19,-2.61,-0.54,2.19,0.5,0,"2.413888889",,,"-2.413888889",,,,,25,,,,,,,
31,676092,"Snider, Collin",128,24.2,0,0,0,0,0,,,0,8,89.8,12,2798,84.3,84.15,10,16,15,-0.20000000000000284,6.15,112,145,112,148,293,328,306,"1.587","-1.587",,,8,3,0,0,0,0,5,62.5,0,0,3.52903,-0.32548,-0.81613,0.75355,"90.8",145,33.33333333333333,0,0,5.48,-2.73,-0.22,1.5,0,0,"-5.119354839",,,"5.119354839",,,,,62.5,,,,,,,
22,663567,"Lambert, Peter",211,10.4,0.5,0.5,1,1,0.641,,,1,2,75.2,26,2826,80.1,79.52,2,5,17,-0.5999999999999943,6.01,111,150,121,150,297,323,291,"-1.113","1.113",,,2,1,0,1,0,0,1,50,0,0,4.39955,-0.82636,-1.25591,-0.21591,"88.0",208,0,0,0,6.13,-0.96,-0.43,2.58,0.5,0,"5.059090909",,,"-5.059090909",,,,,40,,,,,,,
